장소,위도,경도
출발지점,37.484081,127.031534
순찰지점 1,37.480418,127.010568
순찰지점 2,37.475825,127.001343
순찰지점 3,37.47402,126.992734
순찰지점 4,37.476817,126.984791
순찰지점 5,37.482365,126.985614
순찰지점 6,37.48642,126.983092
순찰지점 7,37.491664,126.982779
순찰지점 8,37.497473,126.983627
순찰지점 9,37.495438,126.988774
순찰지점 10,37.491043,126.991527
순찰지점 11,37.48901,126.998559
순찰지점 12,37.484252,126.991911
순찰지점 13,37.48081,126.995628
순찰지점 14,37.482124,127.004766
순찰지점 15,37.485725,127.00982
순찰지점 16,37.456627,127.015621
순찰지점 17,37.466321,127.02056
순찰지점 18,37.471252,127.024611
복귀지점,37.484081,127.031534
